temple,label
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw355.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw29.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw200.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw17.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw526.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\wat po\wat_po150.jpg,watpo
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw41.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\wat po\wat_po176.jpg,watpo
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw217.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\wat po\wat_po29.jpg,watpo
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\wat po\wat_po394.jpg,watpo
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw120.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw146.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw214.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw209.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw234.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw124.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\wat po\wat_po183.jpg,watpo
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw469.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw145.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\wat po\wat_po432.jpg,watpo
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw151.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw256.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw170.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw137.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\wat po\wat_po405.jpg,watpo
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw409.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\wat po\wat_po33.jpg,watpo
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw522.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw91.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\wat po\wat_po318.jpg,watpo
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\wat po\wat_po331.jpg,watpo
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw291.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw510.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw99.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw442.jpg,watpramakew
D:\Download\Theoretical Exam - Chula UTC AI Academy\Lab\Problem 3.\\images\\watprakeaw\wat_prakeaw294.jpg,watpramakew
